session_id,target_url,tc_string,purposeConsents_1,purposeConsents_2,purposeConsents_3,purposeConsents_4,purposeConsents_5,purposeConsents_6,purposeConsents_7,purposeConsents_8,purposeConsents_9,purposeConsents_10,purposeLegitimateInterests_1,purposeLegitimateInterests_2,purposeLegitimateInterests_3,purposeLegitimateInterests_4,purposeLegitimateInterests_5,purposeLegitimateInterests_6,purposeLegitimateInterests_7,purposeLegitimateInterests_8,purposeLegitimateInterests_9,purposeLegitimateInterests_10,publisherConsents_1,publisherConsents_2,publisherConsents_3,publisherConsents_4,publisherConsents_5,publisherConsents_6,publisherConsents_7,publisherConsents_8,publisherConsents_9,publisherConsents_10,publisherLegitimateInterests_1,publisherLegitimateInterests_2,publisherLegitimateInterests_3,publisherLegitimateInterests_4,publisherLegitimateInterests_5,publisherLegitimateInterests_6,publisherLegitimateInterests_7,publisherLegitimateInterests_8,publisherLegitimateInterests_9,publisherLegitimateInterests_10
5eef9f42-9db8-4b52-9faf-d5f6755787ee,http://gielda.onet.pl,CPp0MU-Pp0MVLEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
5eef9f42-9db8-4b52-9faf-d5f6755787ee,http://gielda.onet.pl,CPp0MU-Pp0MVLEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
5eef9f42-9db8-4b52-9faf-d5f6755787ee,http://gielda.onet.pl,CPp0MU-Pp0MVLEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
5eef9f42-9db8-4b52-9faf-d5f6755787ee,http://gielda.onet.pl,CPp0MU-Pp0MVLEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
5eef9f42-9db8-4b52-9faf-d5f6755787ee,http://gielda.onet.pl,CPp0MU-Pp0MVLEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
5eef9f42-9db8-4b52-9faf-d5f6755787ee,http://gielda.onet.pl,CPp0MU-Pp0MVLEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
5eef9f42-9db8-4b52-9faf-d5f6755787ee,http://gielda.onet.pl,CPp0MU-Pp0MVLEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
5eef9f42-9db8-4b52-9faf-d5f6755787ee,http://gielda.onet.pl,CPp0MU-Pp0MVLEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
5eef9f42-9db8-4b52-9faf-d5f6755787ee,http://gielda.onet.pl,CPp0MU-Pp0MVLEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
19f195c9-fe21-44e6-a065-9cff6f3d9f6a,http://kielce.onet.pl,CPp-0q9Pp-0rPEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
19f195c9-fe21-44e6-a065-9cff6f3d9f6a,http://kielce.onet.pl,CPp-0q9Pp-0rPEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
19f195c9-fe21-44e6-a065-9cff6f3d9f6a,http://kielce.onet.pl,CPp-0q9Pp-0rPEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
19f195c9-fe21-44e6-a065-9cff6f3d9f6a,http://kielce.onet.pl,CPp-0q9Pp-0rPEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
19f195c9-fe21-44e6-a065-9cff6f3d9f6a,http://kielce.onet.pl,CPp-0q9Pp-0rPEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
19f195c9-fe21-44e6-a065-9cff6f3d9f6a,http://kielce.onet.pl,CPp-0q9Pp-0rPEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
19f195c9-fe21-44e6-a065-9cff6f3d9f6a,http://kielce.onet.pl,CPp-0q9Pp-0rPEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
19f195c9-fe21-44e6-a065-9cff6f3d9f6a,http://kielce.onet.pl,CPp-0q9Pp-0rPEYACAENC-CgAIAAAH_AAB5YJUwAASpAJMNW4gC7EscCbQMIoEQIwrCQigUAEFAMLRAQAODgp2VgE-sIkAKAUARgRAhwBRgQCAAACAJCIAJAiwQAAAiAQAAgAQCIQAEDAIKACwEAgABANAxRCgAECQgyIiIpTAgIgSCAlsqEEoLpDTCAKssAKARGwUACIAABWAAICwcAwRICViwQJMQbRAAMAKAUSoVqCT00ACAAAAAA.cAAAAbgAAIAA,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
